full_text,created_at,full_text_preprocessed,Topik
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-12 21:09:11+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-12 22:25:13+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-12 23:57:23+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-13 01:14:04+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-13 01:57:19+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-13 04:55:29+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-13 06:09:24+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan.,2025-12-13 22:18:41+00:00,terbuka presiden independen sosok atur beliau menjalankan roda pemerintahan,18
Jabatan Penting Negara saat ini: Presiden RI: Jenderal TNI (HOR) (Purn.) Prabowo Seskab: Letkol TNI Teddy Menkopolkam: Letjen TNI (Purn.) Djamari Chaniago Menhan: Jenderal TNI (Hor) (Purn.) Sjafrie Sjamsoeddin Menlu: Lettu TNI Soegiono Menko Bidang Infrastruktur dan Pembangunan https://t.co/xlKOWVTMvb,2025-12-13 23:20:37+00:00,jabatan negara presiden jenderal tni hor purn prabowo seskab letkol tni teddy menkopolkam letjen tni purn djamari chaniago menhan jenderal tni hor purn sjafrie sjamsoeddin menlu lettu tni soegiono menko bidang infrastruktur pembangunan,18
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:00:01+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:05:16+00:00,mohon maaf pembenci presiden,6
Pak Presiden @prabowo mohon maaf saya tag Bapak Informasi atau data yang Bapak terima dari pembantu Bapak terdapat kesalahan. Kondisi Aceh saat ini tidak baik-baik saja Terima kasih. https://t.co/wXaPaIf18G,2025-12-14 01:06:49+00:00,presiden mohon maaf tag informasi data terima pembantu kesalahan kondisi aceh terima kasih,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:07:41+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:15:39+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:24:02+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:25:25+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:26:43+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:29:24+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:33:05+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:37:29+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:37:38+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:38:16+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 01:39:31+00:00,mohon maaf pembenci presiden,6
