conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
2.000392181165732e+18,Mon Dec 15 08:56:26 +0000 2025,2.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Fokus kemanusiaan nya bantu korban bencana perbaikin infrastruktur ..pasti bapak prabowo tau lah siapa mafia mafianya naikan bencana nasional kok ribet amat ya.,2.00049012133922e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000490121339220215,1.1323124251081073e+18,,
2.000392181165732e+18,Mon Dec 15 06:03:19 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Setuju banget ibu!!! Saya berharap tokoh2 masyarakat cendekiawan dan orang berpengaruh satu suara atas isu kritis ini spt bu Susi..,2.0004465536398623e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000446553639862343,119337778.0,,
2.000392181165732e+18,Mon Dec 15 04:06:44 +0000 2025,1.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Negara isinya adalah rakyat tapi disini rakyat mana yang diuntungkan? Benar kata Ibu sudah tidak relevan memilah yang legal dan ilegal. Bencana korban kerusakan sudah terpampang di depan mata. Entahlah Pak @prabowo mau apalagi yang dipertimbangkan.,2.000417214806308e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000417214806307326,2462921100.0,,
2.000392181165732e+18,Mon Dec 15 11:07:35 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Itulah kalau pengusaha jadi penguasa. Gak Salah sih tapi batas conflict of interest nya setipis rambut,2.000523125738308e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000523125738307939,1.477531438656344e+18,,
2.000392181165732e+18,Mon Dec 15 10:23:13 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Ngapain ngetag dia bu dia cuma bisa omon2 memble kaya macan ompong,2.0005119604469023e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000511960446902314,1.827103215932031e+18,,
2.000392181165732e+18,Mon Dec 15 05:03:19 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Seperti susah bu Susi. Masalahnya lahan terbesar dari Kebon sawit itu juga milik Prabowo. ,2.0004314553282565e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000431455328256263,120476749.0,,
2.000392181165732e+18,Mon Dec 15 06:29:48 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo : Maaf ga bs dihentikan Sharusnya ibu ga hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat apa lg keuntungan ngara hrusnya ibu lihat brp keuntungan yg sy &amp; koalisi sy dptkan. Ini hari tua sy bu jd lbih mmperhatikan jminan hari tua sy smpai ke neraka nanti,2.00045321933258e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000453219332579505,1.1633219515882127e+18,,
2.000392181165732e+18,Mon Dec 15 07:48:20 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Kalau ganggu pemasukan perut susah. Pasti dilawan,2.000472982763e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000472982763000041,441799222.0,,
2.000392181165732e+18,Mon Dec 15 03:16:25 +0000 2025,1.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Tambang legal pun jadi setan saat masuk dalam sistem setan kira2 gt ya Bu. Dari sebegitu rumitnya perizinan per masing2 institusi tidak lancar klo tanpa cuan. Giliran tanah overlapping mafia tanah hilang sumber air bersih trlalu dkt dgn pemukiman mrk semua lepas tangan.,2.00040454975298e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000404549752979543,170435848.0,,
2.000392181165732e+18,Mon Dec 15 02:52:34 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo bukan cuma sumatra pulau lain juga sama rusaknya.,2.000398550283457e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000398550283456977,171382302.0,,
