full_text_comments,full_text_comments_preprocessed
@P3gEl tito...tito....emang lu...buat orang lain susah aja...,tito tito emang susah
@P3gEl Rakyat mah memang butuh bgt bantuan. Hanya saja mereka batu aja pemeintahnya,rakyat butuh bgt bantuan batu pemeintahnya
"@P3gEl Marahin saja Bu
Emang ga tau diri tu pejabat Indonesia",marahin emang pejabat indonesia
@P3gEl Kali ini gue setuju Dik Malay 👍,kali setuju dik malay
@P3gEl Ramaikam Tito Karnavi angkuh #TitoAngkuh,ramaikam tito karnavi angkuh titoangkuh
@P3gEl Maaf yah poliTIKUS kami memang anjing babi. Otak testis semua. Kalau orang Indonesia nya sebagian besar berterima kasih dan menghargai penuh atas bantuan nya🙏,maaf yah politikus anjing babi otak testis indonesia berterima kasih menghargai penuh bantuan
@P3gEl Memang Betul.,
@P3gEl Marahin aja tu Bu. Gatau terimakasih 😤,marahin gatau terimakasih
"@P3gEl Sebagai rakyat Malaysia kami sangat rasa tersingung dan tidak dihargai, ngak apa, lain kali kami tak usah bantu lagi @P3gEI",rakyat malaysia tersingung dihargai ngak kali bantu
@P3gEl Ralat yg ga tau diri itu penguasanya kak,ralat penguasanya kak
@P3gEl Lama-lama dibenci semua negara SEA karena pemerintah kita banyak tingkah😔,dibenci negara sea pemerintah tingkah
@P3gEl Kami rakyat Indonesia minta maaf kepada saudara kami di Malaysia atas ucapan dan prilaku yang buruk yg di lakukan mentri indonesia,rakyat indonesia maaf saudara malaysia ucapan prilaku buruk lakukan mentri indonesia
"@P3gEl Di Indonesia itu berlaku cashback 50%,.. kalau tidak pejabat ya bakal melecehkan pemberi bantuan,...😁😁🤣🤣🤣",indonesia berlaku cashback pejabat melecehkan pemberi bantuan
@P3gEl Kami pun malu punya pejabat seperti mereka. Pejabat Indo Ada lah bencana nasional bagi rakyat nya,malu pejabat pejabat indo bencana nasional rakyat
"@P3gEl Emang di Indonesia ada pemerintahan ya? Baru tau aku dari negara Malaysia.
Kirain ga ada...😂",emang indonesia pemerintahan negara malaysia kirain
@P3gEl kaaan....lu denger ini woiiii @titokarnavian_ akibat tidak bisa menjaga lisanmu. 😠menghargai saja tidak bisa...,kaaan denger woiiii akibat menjaga lisanmu menghargai
"@P3gEl Toti eks AS Roma ?
🤣🤣",toti eks roma
@P3gEl sumpah malu bgt😭,sumpah malu bgt
"@P3gEl Apakah karena Malaysia belum ijin dulu ke kemsos gua ipul dan bayar pajak dulu (bea cukai) 
😤😤😤😤😤😤😤😤",malaysia ijin kemsos ipul bayar pajak bea cukai
@P3gEl lha lapo ga jupuk neh ae🤣,lha lapo jupuk neh
"@P3gEl marahin buk nlmarahi, saya sebagai rakyat juga adah capek marah sama pemerintah di konoha ini",marahin buk nlmarahi rakyat adah capek marah pemerintah konoha
@P3gEl Kan asal mangap tu maren dapat protes dari Malaysia 😊🤭,mangap maren protes malaysia
"@P3gEl Dan pelayan masyarakat macam tito gak hanya 1, tapi ada ratusan di negeri para bedebah ini.",pelayan masyarakat tito ratusan negeri bedebah
"@P3gEl Dengan begini, dunia akan tau bhw negeri ini sdg dikuasai penjahat yg hanya memikirkan diri mereka sendiri. Biar penguasa tau bhw mereka telah menjadi musuh bersama, tidak hanya rakyat negeri ini saja",dunia bhw negeri sdg dikuasai penjahat memikirkan biar penguasa bhw musuh rakyat negeri
@P3gEl 1 musuh dalam selimut terdekteksi..,musuh selimut terdekteksi
"@P3gEl Dibantu aja ga tau diri,sok2an jaga harga diri...",dibantu sokan jaga harga
@P3gEl Mental bansos kita..jadi susah.,mental bansos susah
@P3gEl 👋👋👋👋👍🏼👍🏼👍🏼,
@P3gEl Begitulah pejabat konoha cik...kami pun kesal lah..,pejabat konoha cik kesal
"@P3gEl andaikan itu terjadi sebaliknya, pasti DPR/rakyat Indonesia juga marah...",andaikan dpr rakyat indonesia marah
@P3gEl Hidup jokowi... hidup jokowi... sama aja lah,hidup jokowi hidup jokowi
@P3gEl Memang pejabat indonesia itu ga ada otak dan hati.,pejabat indonesia otak hati
"@P3gEl naa,,,looo,,",naa looo
"@P3gEl @wildanseptyan buat dpr malaysia harap maklum pejabat indonesia itu mayoritas tolol, angkuh dan korup",dpr malaysia harap maklum pejabat indonesia mayoritas tolol angkuh korup
@P3gEl Pemerintah negara indonesia memang tolol semua taunya hanya korupsi kerja kagak bisa,pemerintah negara indonesia tolol taunya korupsi kerja kagak
@P3gEl Pejabat indon jahanam memang tak ada otak https://t.co/HzzyODLzxR,pejabat indon jahanam otak
@P3gEl @Gerindra gini amat,gini
@P3gEl Gilla muka badaak bgt ini indonesia...,gilla muka badaak bgt indonesia
"@P3gEl Menteri Indonesia miskin adab, miskin moral.",menteri indonesia miskin adab miskin moral
"@P3gEl Tabok Mak cik,tabok congor mrka!",tabok mak cik tabok congor mrka
"@P3gEl TOTI KARNATAIVAN MEMANG ANAK ANJING...
BASIC NYA POL1S1 JADI MERASA HEBAT....
TAI...💩💩💩",toti karnataivan anak anjing basic pols hebat tai
@P3gEl Maafkan...🙏 https://t.co/Gjo0NBJYi5,maafkan
@P3gEl Suruh pada pulang aja tuh TKI yg ada diMalaysia,suruh pulang tuh tki dimalaysia
@P3gEl Marah aja gapapa emang sombong pemerintah indo teh,marah gapapa emang sombong pemerintah indo teh
@P3gEl Yahlha wong yng 10 m aja dari sesama rakyat di swpwlekan,yahlha yng rakyat swpwlekan
@P3gEl Emang bener bu pejabat Indonesia memang J@%C0X,emang bener pejabat indonesia
"@P3gEl @prabowo can’t your ministries do their jobs properly?
Talk properly as a professional?…no?
Shame on you and for your whole cabinet. 
What a shameful country lead by shameful government.",can your ministries their jobs properly talk properly professional shame you and for your whole cabinet what shameful country lead shameful government
"@P3gEl gak tau diri, gak tau diuntung, gak tau malu, lupa daratan, lupa ama tuhan",diuntung malu lupa daratan lupa ama tuhan
@P3gEl #TitoAngkuh,titoangkuh
@P3gEl Kalo begini???,
"@P3gEl Palestine vs Israel
Indonesia vs Pemerintah pusat",palestine israel indonesia pemerintah pusat
"@P3gEl Angkuh? Sombong? Kejam?

SAK atau KAs?",angkuh sombong kejam sak kas
@P3gEl Mgkn lbh baik dlm uang,mgkn lbh dlm uang
@P3gEl Pejabat Konoha 😳🫣,pejabat konoha
@P3gEl Toti Buku Merah ?,toti buku merah
@P3gEl Maaf. Pemerintah indo sekarang lagi mode setan 🙏,maaf pemerintah indo mode setan
@P3gEl btw tito tidak mewakili suara hati saya sebagai warga Indonesia ya 😁,btw tito mewakili suara hati warga indonesia
@P3gEl https://t.co/CP3z5olTuI,
@P3gEl Kami sebagai rakyat Sumatra sangat berterima kasih kepada ncik dan puan atas bantuan yg telah diberikan. Dan kami juga meminta maaf atas ucapan dari penghuni zoo di negara kami ini yg memang seharus nya mereka disuntik mati,rakyat sumatra berterima kasih ncik puan bantuan maaf ucapan penghuni zoo negara seharus disuntik mati
@P3gEl Kami haturkan terimakasih yang sebesar-besarnya atas bantuannya🙏🏻  Mohon maaf atas sikap Pemerintah kami yang goblok &amp; tololnya minta ampun🙏🏻,haturkan terimakasih besarnya bantuannya mohon maaf sikap pemerintah goblok amp tololnya ampun
@P3gEl Pejabat2 negeri ini sibuk membantu tutupi kasus ijasah,pejabat negeri sibuk membantu tutupi ijasah
"@P3gEl Lupa ya bang, klo tahun ini aja TKI kita ada yg meninggal ditembak aparat sana di laut, disekap 21 tahun sampai cacat, disiksa sampai meninggal? Lalu Malaysia punya agenda utk memecah belah Sumatera utk memisahkan diri, merampok hutan di Papua. Lupa atau ga tau berita?",lupa bang klo tki meninggal ditembak aparat laut disekap cacat disiksa meninggal malaysia agenda utk memecah belah sumatera utk memisahkan merampok hutan papua lupa berita
@P3gEl Tolong jelaskan @grok menteri siapa uang dimaksud dalam konteks ini,menteri uang konteks
@P3gEl Maafkan kami krna kualitas penjabat konoha kayak sampah,maafkan krna kualitas penjabat konoha kayak sampah
"@P3gEl pemerintah yang gak tau diri, malu-maluin",pemerintah malu maluin
"@P3gEl Bukan cuma WNI yg muak sama bacot pejabat.
Bedanya kita merasakan ini setiap hari",wni muak bacot pejabat bedanya merasakan
@P3gEl wkwk tito di dengerin sama aja kaya dengerin kentut memek,wkwk tito dengerin kaya dengerin kentut memek
"@P3gEl Maafkan pejabat koplak indonesia ya bu, mereka tidak mewakili Bangsa Indonesia",maafkan pejabat koplak indonesia mewakili bangsa indonesia
"@P3gEl Maaf gengs, pemerintah ku sombong, ayo rakyat pada marah",maaf gengs pemerintah sombong ayo rakyat marah
"@P3gEl Pelan tp pasti, citizen luar negri bakal tau gmn pejabat di Indo saat ini ☺️",pelan citizen negri gmn pejabat indo
@P3gEl Halo Malaysia.. tolong klaim prediden kami beserta semua mentrinya sebagai milik kalian. Kami muak dgn mereka,halo malaysia klaim prediden beserta mentrinya milik muak dgn
@P3gEl ini nih pejabatnya @titokarnavian_,pejabatnya
@P3gEl Iya memng ..marahin aja makcik,iya memng marahin makcik
@P3gEl @SHnews_,
"@P3gEl Bukan Indonesiany.... Tapi ya itu pejabat2 arogan yg kerja ny g becus, pinterny korupsi doang",indonesiany pejabat arogan kerja becus pinterny korupsi doang
"@P3gEl Congor pejabat indo makin kesini makin bau ta*.

Kemampuan ngomong diplomatis nol besar. BACOT SEENAKNYA JIGONG.",congor pejabat indo kesini bau kemampuan ngomong diplomatis nol bacot jigong
"@P3gEl Marahin aja mba ngga apa-apa, kita juga sudah eneg ngeliat kelakuan goblok pejabag",marahin mba ngga eneg ngeliat kelakuan goblok pejabag
@P3gEl Pejabat Konoha emang arogan bu..,pejabat konoha emang arogan
"@P3gEl ibu ini orangnya fair, dia juga sering kritik pejabat2 malay, mantap makcik 👍",orangnya fair kritik pejabat malay mantap makcik
@P3gEl Lambe si titit keluarin suara ga mikir...,lambe titit keluarin suara mikir
"@P3gEl sy berpendapat sangat tepat semua bantuan asing ditolak dg tegas agar tidak menimbulkan reaksi2 berlebihan spt contohnya pasang bendera malaysia, jika terpaksa menerima maka bantuan harus disalurkan lewat pemerintah, tidak boleh boleh membawa dan membagikan sendiri agar tertib.",berpendapat bantuan asing ditolak menimbulkan reaksi spt contohnya pasang bendera malaysia terpaksa menerima bantuan disalurkan pemerintah membawa membagikan tertib
"@P3gEl @VIRGO1409271346 Iy ini .... Itu menteri kok aneh sih bantuan kok dinilai rupiahnya sih .... Bukan nya koordinasi sebaran titik terdampak dan kebutuhannya, malah julit ngomongin org. Itu sengaja adu domba IND dan MY jadinya ..... Suka banget berantem ..... Ngk mutu bnget ....",menteri aneh bantuan dinilai rupiahnya koordinasi sebaran titik terdampak kebutuhannya julit ngomongin org sengaja adu domba ind berantem ngk mutu bnget
@P3gEl Mantap makcik memang pejabat indonesia ini mostly bajingan semua isinya 🤣,mantap makcik pejabat indonesia mostly bajingan isinya
"@P3gEl Tolonglah bu, Indonesia diambil alih jadi Negara Malaysia saja, saya ikhlas... 
saya sudah muak ngeliat kelakuan badut tapi jadi pejabat di Indonesia... mendingan di kelola sama Malaysia saja insyaAllah lebih makmur...",tolonglah indonesia diambil alih negara malaysia ikhlas muak ngeliat kelakuan badut pejabat indonesia mendingan kelola malaysia insyaallah makmur
"@P3gEl Sayangnya bantuan kali tidak ditambah untuk pejabat2nya. Kan udah jelas pejabat harus diutamakan. Gitu lah die cerite di rantau ini, Mak Cik.",sayangnya bantuan kali ditambah pejabatnya pejabat diutamakan die cerite rantau mak cik
"@P3gEl kita mewakilinpara manusia tolol itu minta maap, maklum bu mereka berdiri di jajaran pemerintahan pake jalur bayar jadi ngeluarin statement kayak orang ga berpendidikkan",mewakilinpara manusia tolol maap maklum berdiri jajaran pemerintahan pake jalur bayar ngeluarin statement kayak berpendidikkan
"@P3gEl Daripada menerima malu dari luar negri lebih baik warga negaranya sendiri sj yg dikorbankan lagi..suruh bertahan berminggu-minggu², hingga berbulan²...",menerima malu negri warga negaranya dikorbankan suruh bertahan berminggu minggu berbulan
"@P3gEl Ngajak gelud emang si tito nggasih😭
Sebenernya emang bukan kewajiban malaysia memberi bantuan, diberi bantuan sama mereka itu bersyukur banget
Pemerintah Indonesia yang seharusnya memberi bantuan dan membuat kebijakan malah menyepelekan bantuan dari Malaysia itu kan jahat?",ngajak gelud emang tito nggasih sebenernya emang kewajiban malaysia bantuan bantuan bersyukur pemerintah indonesia bantuan kebijakan menyepelekan bantuan malaysia jahat
@P3gEl Maaf ya makcik... Orang satu itu memang dungu tak ada otak,maaf makcik dungu otak
"@P3gEl Sebaiknya Mendagri Tito harus segera minta maaf kpd Negara Malaysia atas pernyataannya yg tdk ber-Etika, tdk sepantasnya mem-Banding2kan pemberian bantuan dari Malaysia.
Ucapannya bersikap sombong karena Indonesian merasa lebih mampu. Rakyat 🇮🇩 yg Kecewa.",mendagri tito maaf kpd negara malaysia pernyataannya tdk ber etika tdk mem bandingkan pemberian bantuan malaysia ucapannya bersikap sombong indonesian rakyat kecewa
"@P3gEl Sbgai warga +62 kita malu, dibantu ga tau diri , bencana level nasional dianggap bjasa aja. Ga tau saudara di sumatra gmna nantinya, mau keeja apa, bsok makan apa. Dan gamna skolahnya, kalau 3 bulan ini dan ke depan kondisinya masih sama. Belm lgi mau lebaran,",sbgai warga malu dibantu bencana level nasional dianggap bjasa saudara sumatra gmna keeja bsok makan gamna skolahnya kondisinya belm lgi lebaran
@P3gEl @ggakenna Mampus......EMG Indon negra miskin ga tau diri . 😒👎 @prabowo @Gerindra @kemendagri,mampus emg indon negra miskin
@P3gEl Viralkan buk😭😭😭 kami warganya pun cukup muak,viralkan buk warganya muak
@P3gEl Makin runyam negara ini akibat statement pejabat tinggi yg selalu bikin blunder.. apakah @prabowo msh ga mau pecat menteri model begini? Jgn sampai negara tetangga ngambek dan ga mau investasi di negara ini,runyam negara akibat statement pejabat bikin blunder msh pecat menteri model jgn negara tetangga ngambek investasi negara
"@P3gEl Emg gemblung indonesia, pemerintahnya, prabowo, dpr semua dah pokoknya 💩",emg gemblung indonesia pemerintahnya prabowo dpr dah pokoknya
@P3gEl Iya Toti karnaval pimpinan @kemendagri,iya toti karnaval pimpinan
@P3gEl Mentri2 indonesia sampe bossnya memang ga ada otak..,mentri indonesia sampe bossnya otak
@P3gEl Saya sebagai rakyat Indonesia mendukung statement Anda.,rakyat indonesia mendukung statement
"@P3gEl Pejabat2 negeri ini malah bikin malu rakyat Indonesia, negara tetangga niat baik mau bantu malah di sepelekan, anj emang si titot",pejabat negeri bikin malu rakyat indonesia negara tetangga niat bantu sepelekan anj emang titot
@P3gEl Memang pejabat negara ini otaknya sdh ga beres.,pejabat negara otaknya sdh beres
"@P3gEl Entahlah kenapa Indonesia ini, kenapa hal baik malah dijadikan masalah???.. 🤬",indonesia dijadikan
@NarasiNewsroom Penjilat semua mereka itu !,penjilat
@NarasiNewsroom mana sempat keburu telat,keburu telat
"New data from the Reagan National Defense Survey shows strong consensus across the country: Americans want the United States to lead—and to remain militarily superior.

Ronald Reagan Institute Director @RogerZakheim  joined @MarkLevinShow to discuss why the survey debunks https://t.co/cfESnxBtuK",new data from the reagan national defense survey shows strong consensus across the country americans want the united states lead and remain militarily superior ronald reagan institute director joined discuss why the survey debunks
@NarasiNewsroom 22 ini yg area kecil atau yg pengelola area2 besarnya(yg sudah berubah fungsi atau sudah gundul lahannya)?,area pengelola area besarnya berubah fungsi gundul lahannya
@NarasiNewsroom Pemiliknya dituntut ga?,pemiliknya dituntut
@NarasiNewsroom Telat juliii telaaatttttt,telat juliii telaaatttttt
@NarasiNewsroom Omon omon,omon omon
@NarasiNewsroom @RajaJuliAntoni Lo ga bisa kerja ? Ampe presiden @prabowo  ngasih tau apa yg Lo mesti kerjain... Mundurlah kalo masih ada tersisa sedikit rasa malu.,kerja ampe presiden ngasih mesti kerjain mundurlah tersisa malu
@NarasiNewsroom Yakin..??? Ini orang psi loh...,psi
@NarasiNewsroom 22 perush apa?,perush
@NarasiNewsroom Akan = nego,nego
@NarasiNewsroom Ntohotttt,ntohotttt
@NarasiNewsroom Bajingan ini wajib dipecat!,bajingan wajib dipecat
@NarasiNewsroom Ah masa?,
@NarasiNewsroom Detailnya ?,detailnya
@NarasiNewsroom Suneo,suneo
@NarasiNewsroom 😀😀😀,
@NarasiNewsroom Mundur,mundur
@NarasiNewsroom 🤣🤣🤣,
@NarasiNewsroom Omon omon https://t.co/cMBhLJJmfv,omon omon
@NarasiNewsroom Halah rakyat kagak percaya 🤣,halah rakyat kagak percaya
"@NarasiNewsroom Daftar perusahaan nya belum di buka ke publik 
Belum layak dirayakan 
Ini sekedar pengorbanan kambing hitam demi citra ketegasan 
Setelah air menenggelamkan pulau sumatera",daftar perusahaan buka publik layak dirayakan sekedar pengorbanan kambing hitam citra ketegasan air menenggelamkan pulau sumatera
@NarasiNewsroom MEMETERI KEHUTANAN gak berguna? Dari apa bekgrondnya org ini? Ohhhhh ternyata... jatah ormas toh...,memeteri kehutanan berguna bekgrondnya org ohhhhh jatah ormas
@NarasiNewsroom Eleh eleh. Masih tuh hutannya,eleh eleh tuh hutannya
@NarasiNewsroom Kalo memang ksatria mundur saja wahai @RajaJuliAntoni ... Mending fokus saja urus @psi_id,ksatria mundur mending fokus urus
@NarasiNewsroom Masih menyimpan cara berpikir kalau masyarakat itu bodoh.,menyimpan berpikir masyarakat bodoh
@NarasiNewsroom Delusional,delusional
@NarasiNewsroom Kosong,kosong
@NarasiNewsroom 🚮,
@NarasiNewsroom ASENG ASENG ASENG,aseng aseng aseng
@NarasiNewsroom Ya Allah!,allah
"@NarasiNewsroom Banggaaaaa banget pasti yg 58%, betapa patriotiknya presiden pilihan mereka ini 💩🤣🤮 #AsalBabonSenang #Ndasmu",banggaaaaa betapa patriotiknya presiden pilihan asalbabonsenang ndasmu
@NarasiNewsroom https://t.co/fIbSzW4OSb,
@NarasiNewsroom Harus mampu masyarakat kita punya tradisi budaya gotong royong. Keberadaan asing malah merepotkan aparat utk membantu mereka. Kl mau bantu kirim sj jangan ikut mengatur repot jadinya Krn aparat pendamping jadi ribut sendiri,masyarakat tradisi budaya gotong royong keberadaan asing merepotkan aparat utk membantu bantu kirim mengatur repot krn aparat pendamping ribut
"@NarasiNewsroom Jd sbnrnya ""mampu"" itu artinya mampu ngurus bencana, atau cuma mampu nutupin ketidakbecusan biar ga malu sama luar negeri, Pak?

~Bertanya dengan Nada Corbuzier~",sbnrnya ngurus bencana nutupin ketidakbecusan biar malu negeri nada corbuzier
"@kompascom Huhuhu
Mulai terkuak",huhuhu terkuak
@NarasiNewsroom Masih menyimpan cara berpikir kalau masyarakat itu bodoh.,menyimpan berpikir masyarakat bodoh
@kompascom Setelah jatuh korban dan kerusakan😡,jatuh korban kerusakan
"@kompascom Dari 120 ribu dikasihkan 20 ribu.
Masih punya 100 ribu.",ribu dikasihkan ribu ribu
"""We can move one application to the other side within 1 minute and we do not lose data."" 🚀 At HPE Discover Barcelona, Andreas Kranabitl (Managing Director, SPAR ICS) joined @MasSubestimado and @WillTownTech to discuss creating the retail experience of the future. He highlights a https://t.co/BTMZcrkB63",can move one application the other side within minute and not lose data hpe discover barcelona andreas kranabitl managing director spar ics joined and discuss creating the retail experience the future highlights
@kompascom Gajah E wes koit,gajah wes koit
@kompascom Dulu dapatnya legal ??,dapatnya legal
@kompascom Buat PSI maksudnya? buat Raja Juli antoni si Menhut?,psi maksudnya raja juli antoni menhut
"@kompascom ""Miliknya"" Hahahaa....",miliknya hahahaa
@kompascom Gilee,gilee
@kompascom bohongan paling,bohongan
@kompascom Duarrrrrrrr 😁,duarrrrrrrr
@kompascom My pahlawan ku 👍👍,pahlawan
"@kompascom Dari jutaan lahan yg lu punya? Wkwkwkwkwk
#pembunuh!!",jutaan lahan wkwkwkwkwk pembunuh
"@kompascom Sumbangan ini tidak menutup pengusutan atas lahan sawit milik @prabowo yang dibuka dengan membabat hutan, menjual kayunya dan menggunakan hasil penjualan kayu utk membangun ladang sawit, yang diduga menjadi penyebab bencana besar di Sumatera. 
Netizen boleh buka datanya",sumbangan menutup pengusutan lahan sawit milik dibuka membabat hutan menjual kayunya hasil penjualan kayu utk membangun ladang sawit diduga penyebab bencana sumatera netizen buka datanya
@sheknowshoney Mau ngakak takut dosa...,ngakak takut dosa
@sheknowshoney ga kebayang kl ni orang beneran jd presiden. indonesia kiamat duluan.,kebayang beneran presiden indonesia kiamat duluan
@sheknowshoney Banyak kurang banyak memang ketidakmasuk-akalan ini ya,ketidakmasuk akalan
@sheknowshoney Ora sudi +!!!!!,ora sudi
@sheknowshoney Sudah sampe dimana gue setuju uly siregar wkwk,sampe setuju uly siregar wkwk
@sheknowshoney Bakal korupsi besar besaran iya boro boro mau berantas,korupsi besaran iya boro boro berantas
@sheknowshoney Gubernur Mualem jadikan Presiden,gubernur mualem jadikan presiden
"@sheknowshoney Kagak sudih gua cookk, bisa2 negara ini di jual😂😂😂",kagak sudih cookk negara jual
@sheknowshoney Pretttt Tukang Kibull,pretttt tukang kibull
@sheknowshoney @baby_alien28 Bukankah suami dia sdh terlibat??,suami sdh terlibat
@sheknowshoney Iya padahal dia malah bisa langsung ketok palu buat undang undangnya wkwkkw,iya langsung ketok palu undang undangnya wkwkkw
"@sheknowshoney Apasih puan,partai lu aja sarang tikus",apasih puan partai sarang tikus
@sheknowshoney Karena dialah koruptor yang sebenar nya,koruptor sebenar
@sheknowshoney Undang2 perampasan asetnya d perjuangan dulu ya Bu...,undang perampasan asetnya perjuangan
@sheknowshoney Inget pilih esensi bukan sensasi gua setuju koruptor harus di buru tapi harus di jelaskan gimana caranya bukan halusinasi ngejar koruptor sampe antarctica,inget pilih esensi sensasi setuju koruptor buru gimana halusinasi ngejar koruptor sampe antarctica
@sheknowshoney Nggak akan pernah ...,
"@sheknowshoney Ngomong ni sama bool , mau sampai alam dunia  alam ,barzah ,alam akhirat . Padang mahsyar,   demi allah gk bakal percya gw",ngomong bool alam dunia alam barzah alam akhirat padang mahsyar allah percya
@sheknowshoney https://t.co/f9tloLy04f,
@sheknowshoney dude im srsly gonna lose it,dude srsly gonna lose
@sheknowshoney kek yg kmren2 kaga janji begitu aja.. cuihhh gak sudi milih gue anjnk,kek kmren kaga janji cuihhh sudi milih anjnk
@sheknowshoney @anaksungsang Haha,haha
@sheknowshoney Males.....,males
@sheknowshoney Ogah....maap,ogah maap
@sheknowshoney 💩💩💩💩💩🤮🤮🤮🤮🤢🤢🤢🤢🤢,
@sheknowshoney big no yang ada semua org di mute sm blio wkwkwk,big org mute blio wkwkwk
"@sheknowshoney Kek prabowo juga begitu 🤣
Kalo ga berani bunuh orang jangan jadi presiden 🤣
Nanti kena tampol duwit diem 🤣",kek prabowo berani bunuh presiden kena tampol duwit diem
@sheknowshoney ckckck....,ckckck
@sheknowshoney Mau rakyat percaya?🤣🤣🤣,rakyat percaya
@sheknowshoney kenapa nggak bisa berantas koruptor pas jadi ketua DPR?,berantas koruptor ketua dpr
@sheknowshoney kntol tae jmbt anj jadi ketum aja g becus berantas banget ini 1 keluarga beban negara anj,kntol tae jmbt anj ketum becus berantas keluarga beban negara anj
"@sheknowshoney Undang2 perampasan aset aja gak u Sahin sampe gini hari, NGOMONG U SAMA TEMBOK",undang perampasan aset sahin sampe gini ngomong tembok
@sheknowshoney @aphr0dita19 bct,bct
@sheknowshoney Biasa kalau ada maunya...,maunya
@sheknowshoney janjimu palsu,janjimu palsu
@sheknowshoney kurang absolut kuasanya,absolut kuasanya
"@sheknowshoney 😂😂😂.... dah biarin aja berkoar-koar... biar senang, memang masih ada rakyat yang percaya sama mereka, UU perampasan aset koruptor saja sampai sekarang gak selesai selesai",dah biarin berkoar koar biar senang rakyat percaya perampasan aset koruptor selesai selesai
@sheknowshoney Anak banteng kan anda koruptornya,anak banteng koruptornya
@sheknowshoney @salahjurusann berantas diri sendiri maksudnya?,berantas maksudnya
"@sheknowshoney Biarin bang, jangan dicegah, tar ngadu mama nya..",biarin bang dicegah tar ngadu mama
@sheknowshoney Taeek 🤮🤮🤮,taeek
"@sheknowshoney UUD, ujung-ujungnya duid",uud ujung ujungnya duid
"@sheknowshoney Bau apa lagi yg lewat, busuknyaa",bau busuknyaa
@sheknowshoney Rusak negoro ne,rusak negoro
@sheknowshoney yahhh emak lu aja ga di pilih rakyat,yahhh emak pilih rakyat
"@sheknowshoney Pemilu masih 4 tahun lagi, dah ada ucapan begini aja",pemilu dah ucapan
"@sheknowshoney Seteli 3 uang sama aja gaya ibunya, dikira masyarakat bodo kali",seteli uang gaya ibunya masyarakat bodo kali
@sheknowshoney Mending sekarang aja berantasnya biar ada update buat CV mu,mending berantasnya biar update
@sheknowshoney mending lu diem,mending diem
@sheknowshoney Iya ya..dasar otak isinya tahu...,iya dasar otak isinya
@sheknowshoney Si busuk ini ngomong apa,busuk ngomong
"@sheknowshoney Ngimpi 
Sampe ngiler",ngimpi sampe ngiler
@sheknowshoney klo g bisa sahkan uu perampasan aset janganlah koar2,klo sahkan perampasan aset koar
"@sheknowshoney Lg latihan,ya..buat acara di RT",latihan acara
"@sheknowshoney Lah malah iklan dia, sekarang aja emang gabisa banget bu?",iklan emang gabisa
"@sheknowshoney Boong, percaya aja lagi luu",boong percaya luu
"@sheknowshoney mic aja dimute, apalagi suara rakyat!",mic dimute suara rakyat
"@sheknowshoney Bu mohon maaf nih
Tapi iming² itu juga jadi slogan orang² sebelum ibu🙏🏻",mohon maaf iming slogan
@sheknowshoney @puanmaharani_ri gimmick doang!!,gimmick doang
"@sheknowshoney Betulkah berita ini, kalau betul kok kayaknya hanya omon2,,",berita kayaknya omon
@sheknowshoney Lambe klemis para koruptor....,lambe klemis koruptor
@sheknowshoney Sama bohong ama jokowi,bohong ama jokowi
@sheknowshoney Ngebacot Mulu si empo dari dulu..,ngebacot mulu empo
"@sheknowshoney Masak doi harus berantas diri nya sendiri, entar dimarahin mama lho😱",masak doi berantas entar dimarahin mama
@sheknowshoney hehehehe sekjen partainya yg korup gimana? nanti nurut sama emak,hehehehe sekjen partainya korup gimana nurut emak
@sheknowshoney Bojomu lhooo maling....nggk malu Tah ngomong ngedrabrus....Sudi...,bojomu lhooo maling nggk malu tah ngomong ngedrabrus sudi
@sheknowshoney @SobatMIDO Kesuweeeeen buuuuuu,kesuweeeeen buuuuuu
"@sheknowshoney kelamaan, sana kudeta kalau berani, mungkin sampeyan akan dipenjara, dan itu bagus, anda bisa menjadi pantas memimpin revolusi

jika sebaliknya
berlemak, tambun dan bobok siang, DIAM lebih bagus !",kudeta berani sampeyan dipenjara bagus memimpin revolusi berlemak tambun bobok siang diam bagus
@sheknowshoney Ini hoaks....pasti kerjaan orang orang partai gajah,hoaks kerjaan partai gajah
"@sheknowshoney Padahal bisa kok, dimulai dari menjelaskan secara gamblang  cerita yang ini. 
https://t.co/HrNsfraj5S",gamblang cerita
@sheknowshoney Suami nya dia Brantas... jualan suply di proyek pemerintahan nga kesentuh mark up nya gila 200%,suami brantas jualan suply proyek pemerintahan nga kesentuh mark gila
@sheknowshoney Yg percaya pasti Orgil🙏🙏🙏,percaya orgil
@sheknowshoney Mau lebih lowbat di bawah 16%,lowbat
@sheknowshoney 🤔,
"@sheknowshoney Gue tetep pegang puan 💪
Kalian yg gebukin nya 😊",tetep pegang puan gebukin
"@sheknowshoney BACOT LU KEGEDEAN, GA SAMA AMA OTAK",bacot kegedean ama otak
"@sheknowshoney DEJA VU

kalau saya jadi ..... banjir jakarta beres",deja banjir jakarta beres
@sheknowshoney ada yg percaya wkwkwkwk,percaya wkwkwkwk
@sheknowshoney She is nothing!!,she nothing
@sheknowshoney @Kenzu_001 💩💩💩,
"@sheknowshoney gw kasih tau ya, mulut politisi itu adalah mulut yang 100% gak bisa di percaya. jadi kalau ada yang janji A - Z itu dia lagi buang kentut aja.",kasih mulut politisi mulut percaya janji buang kentut
@sheknowshoney https://t.co/RzwD5ugkkM,
