full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Ini sampai Bu Susi loh yang nge-tweet apakah akan terdengar didengar dilaksanakan atau...mmmmmmmmmmmmmmmm,susi nge tweet terdengar didengar dilaksanakan mmmmmmmmmmmmmmmm
@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,presiden sulit ditembus sangking bubble lambat nerima informasi amp kritik
@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,legal ilegal hutan gundul produksi stop pembukaan lahan stop deforestasi
@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,dengar buk berharap biarkan dimakan sumpahnya
@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,kemablikan hutan fungsinya jgn perusakan hutan dalih hsl tambang perkebunan sawit tdk sebanding dampak kerusakan ditimbulkan menikmati hny sgelintir rakyat ttp kebagian ampas anak cucu stop cabut izin
@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,presiden keluarganya diduga kebun sawit tdk
@susipudjiastuti @prabowo Yang heppy mereka bu...rakyat mblangsak mah udah biasa...biasa buat tumbal,heppy rakyat mblangsak tumbal
@susipudjiastuti @prabowo Ibu susi HP pak @prabowo disetting sama buna Teddy buat gak main sosmed banyak². Mana mungkin aspirasi rakyat bahkan sekaliber Bu Susi terdengar.,susi disetting buna teddy main sosmed aspirasi rakyat sekaliber susi terdengar
@susipudjiastuti @prabowo Apakah didengar buk @susipudjiastuti oleh presiden prabaowo klo kuarganya jg andil didlm stu..dan presiden dikepung pembantunya yg ikut andil jg ,didengar buk presiden prabaowo klo kuarganya andil didlm stu presiden dikepung pembantunya andil
@susipudjiastuti @prabowo Tanam kembali hutan sperti bapak ke brazil kmrn,tanam hutan sperti brazil kmrn
@susipudjiastuti @prabowo @grok seberapa luas lahan sawit yang dimiliki pak Prabowo Subianto?,luas lahan sawit dimiliki prabowo subianto
@susipudjiastuti @prabowo Setuju bu saat ini pemilahan harusnya : mana yg berdampak negatif dan positif. Jika berdampak negatif maka tutup walau legal.,setuju pemilahan berdampak negatif positif berdampak negatif tutup legal
@susipudjiastuti @prabowo Seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya..,rakyat menghentikan pejabat bermasalah barang buktinya
@susipudjiastuti @prabowo yg Legal malah lebih parah,legal parah
@susipudjiastuti @prabowo emang berani prabowo lawan cukong2 dan jaringannya yg berurat akar di negeri ini buk? .,emang berani prabowo lawan cukong jaringannya berurat akar negeri buk
@susipudjiastuti @prabowo O. T. A. K. !! Repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya. Mo sampe modyar ya tetep serakah!!,repot klo org duduk pemerintahan mikirin rakyat mikir kepentingan kelg sampe modyar tetep serakah
@susipudjiastuti @prabowo brarti sebelumnya gk ditertibkan ,brarti ditertibkan
@susipudjiastuti @prabowo Tak bisa tawar menawar Selamatkan hutan alam Indonesia utk kebaikan keberlangsungan kehidupan. Alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk Masyarakat Flora Fauna disekitar.,tawar menawar selamatkan hutan alam indonesia utk kebaikan keberlangsungan kehidupan alam anugrah jaga dirusak rusaknya alam kerugian utk masyarakat flora fauna disekitar
@susipudjiastuti @prabowo SAAT MASIH KONFLIK DI ACEH HUTANNYA AMAN!!! KL KATA2 WOWOK BISA DIPERCAYA TAEK KUCINGPUN BISA JADI EMAS!!!,konflik aceh hutannya aman wowok dipercaya taek kucingpun emas
@susipudjiastuti @prabowo Negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat. Pencitraan makin menonjol solusinya gaje alias ga jelas,negeri sdh mengarah kehancuran pemimpinnya tdk jujur rakyat pencitraan menonjol solusinya gaje alias
@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangkap maling?? @prabowo,lha buanyaak bgt gmana maling tangkap maling
@susipudjiastuti @prabowo Segilintir org yg untung dn punya kuasa. Yg menderita ya Rakyat! Klo begini apa guna Pancasila si bagi mereka yg punya kuasa sampah x ya?,segilintir org untung kuasa menderita rakyat klo pancasila kuasa sampah
@susipudjiastuti @prabowo Setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit ,setuju bangett tinggal disumbar jujur sangatt prihatin penggundulan hutan dibukit
@susipudjiastuti @prabowo Yang rugi kan negara para pembesarnya mana ada rugi..untung teroooss..emang daridulu negara settingannya selalu rugi..klo untung mah mana nimbun utang..aya..aya..wae...,rugi negara pembesarnya rugi untung teroooss emang daridulu negara settingannya rugi klo untung nimbun utang aya aya wae
@susipudjiastuti @prabowo https://t.co/xtmQoyXOxX Kami sudah menyerah bu ,menyerah
@susipudjiastuti @prabowo Perkebunan sawit dimana2 merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka,perkebunan sawit merusak alam ironis minyak mahal langka
@susipudjiastuti @prabowo Paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran. Biarin sawit tetap ditanam toh negara juga perlu income.,konsultan lingkungannya rekomendasi jujur dijalankan kejujuran biarin sawit ditanam negara income
@susipudjiastuti @prabowo Apa masih terdengar dan di dengar Bu mau optimis pun susah mau percaya 10 Perusahaan itu ,terdengar dengar optimis susah percaya perusahaan
@susipudjiastuti @prabowo Ibu tidak berjuang dari dalam. Lebih baik sampaikan ke @kikysaputrii yang berjuang dr dalam. Biarkan dia yg sampaikan ke pak prabowo.,berjuang berjuang biarkan prabowo
@susipudjiastuti @prabowo Tangkap Pelakunya dan Adili dengan Benar beres semua .. Keberanian Presiden di Uji ..,tangkap pelakunya adili beres keberanian presiden uji
@susipudjiastuti @prabowo Bu Susi bukankah presiden nya ga bisa baca? Saudara kami di Aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan,susi presiden baca saudara aceh kesulitan air bersih bahan pangan langka kelaparan listrik padam serba kekurangan
@susipudjiastuti @prabowo Jangan berharap banyak agar tidak kecewa untuk status Bencana Nasional saja keberatan,berharap kecewa status bencana nasional keberatan
@susipudjiastuti @prabowo Masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan? ,iya tweet susi dikurasi bubble memyenangkan
@susipudjiastuti @prabowo Ga bakal didengerin Bu.. Pola nya masih sama seperti pemerintah 10 thn lalu ga peduli nyawa manusia Indonesia dan pura-pura tuli,didengerin pola pemerintah thn peduli nyawa manusia indonesia pura pura tuli
@susipudjiastuti @prabowo Stop dulu semua penebangan sampai waktu yg belum ditentukan,stop penebangan ditentukan
@susipudjiastuti @prabowo Seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak,dri kerusakan mengambil keputusan bijak
@susipudjiastuti @prabowo https://t.co/vYNxd8G52p,
@susipudjiastuti @prabowo G akan tersampaikan bu ho pak prabowo nokia 3310,prabowo nokia
@susipudjiastuti @prabowo Jadi kieu Bu eta lahan sawit teh loloba na anu urang jadi lamun STOP penebangan uing rugi mangkana dipilah we antara legal jeung ilegal,kieu eta lahan sawit teh loloba urang lamun stop penebangan uing rugi mangkana dipilah legal jeung ilegal
@susipudjiastuti @prabowo bu sepertinya pejaba² ini udah ga mau denger.. sebenarnya kita ini sebagai apa di Indonesia ,pejaba denger indonesia
@susipudjiastuti @prabowo Nanti bisnis @prabowo lumpuh dong bu? Kan niat jadi presiden emang buat bisnisnya dia.,bisnis lumpuh niat presiden emang bisnisnya
@susipudjiastuti @prabowo Ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok² Dan sekarang juga lagi ngelakuin hal sama ke salah 1 gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama?,salah akibat dri bantu kampanye sempe pelosok ngelakuin salah gub jawa takut orangnya
@susipudjiastuti @prabowo Udah ga ada yg bisa diharapkan dari Mr. Omon omon bu,diharapkan omon omon
@susipudjiastuti @prabowo rajanya omon omon bawahan bilang a percaya aja.,rajanya omon omon bawahan bilang percaya
@susipudjiastuti @prabowo Setuju... Stop sekarang juga,setuju stop
@susipudjiastuti @prabowo Ini spt jeruk makan jèruk,spt jeruk makan ruk
@susipudjiastuti @prabowo Berharap boleh saja Bu tapi Ibu berharap pada pemimpin yg salah,berharap berharap pemimpin salah
@susipudjiastuti @prabowo Gak sampai ke telingganya bun gmana diA mau dengar,telingganya bun gmana dengar
@susipudjiastuti @prabowo mereka tunarungu bu,tunarungu
@susipudjiastuti @prabowo Ibu kira bapak berani? Saya kira bapak ga akan pernah seberani itu bu ,berani seberani
@ARSIPAJA Habis di bredel langsung menjilat ....najiiss https://t.co/rZ3uWAtC0E,habis bredel langsung menjilat najiiss
@ARSIPAJA Sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja Jawa. Karena raja Jawa lambang kerakusan ketamakan keculasan.,sebenernya dibenci prabowonya mendukung hubungannya raja jawa raja jawa lambang kerakusan ketamakan keculasan
@ARSIPAJA Bhaaapppp kok tulisan WARTAWAN https://t.co/BciisdjLKY,bhaaapppp tulisan wartawan
@ARSIPAJA @kompascom klean jadi tim media istana aja jing jilat presiden mulu lah taii!,klean tim media istana jing jilat presiden mulu taii
@ARSIPAJA Sama tim redaksinya @kompascom disebut ga kalau perusahaannya Prabowo turut andil dalam terciptanya malapetaka di Aceh?,tim redaksinya perusahaannya prabowo andil terciptanya malapetaka aceh
@ARSIPAJA @prabowo omon2 macan ompong memble mau aj dikibulin sama TERMUL,omon macan ompong memble dikibulin termul
@ARSIPAJA kompas salah satu kumpulan berita buzzer,kompas salah kumpulan berita buzzer
@ARSIPAJA Jaya Suprana mending edit dah pake bahasa yg netral Buruan jaya Suprana keburu nama lu dicari terus dirujak netizen,jaya suprana mending edit dah pake bahasa netral buruan jaya suprana keburu nama dicari dirujak netizen
@ARSIPAJA hah kompas dikasih rels begini dapat berapa ratus juta mereka ya,hah kompas dikasih rels ratus juta
@ARSIPAJA Kompas loh.... Bikin berita atau siaran pers kehumasan instansi? Wkwkwkwk,kompas bikin berita siaran pers kehumasan instansi wkwkwkwk
@ARSIPAJA Sy pengritik ... Kompas sdh jauh dibawah standar.. dulu langganan harian Kompas skrg baca onlinenya jg dah males,pengritik kompas sdh dibawah standar langganan harian kompas skrg baca onlinenya dah males
@ARSIPAJA Bentar bentar itu yang nulis emang Jaya Suprana???,bentar bentar nulis emang jaya suprana
@ARSIPAJA Media mainstream kok narasinya gini bgt mending jd buzzer aja anjir,media mainstream narasinya gini bgt mending buzzer anjir
@ARSIPAJA #nooticing https://t.co/vnAELwWdzH,nooticing
@ARSIPAJA Saya tidak membenci president.. Saya hanya tidak suka kesalahan yang tidak di akui ditutup2i tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma.. Jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran..,membenci president kesalahan akui ditutupi diperbaiki parah bersekongkol membunuh nilai moral norma jgn relawan pembela presiden sblmny buta nilai kebenaran
@ARSIPAJA @BP_Kaskus gak heran kompas sejak jaman mulyono,heran kompas jaman mulyono
@ARSIPAJA Opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri,opini isinya jilatin penguasa jaya suprana ngurusin muri
@ARSIPAJA Ikan busuk dari apanyaa ??? . Kepala nyaa,ikan busuk apanyaa kepala nyaa
@ARSIPAJA Pendukungnya udah mulai pada gila (emang ga pernah waras dari awal si) udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya,pendukungnya gila emang waras kayanya dibenci rezimnya personalnya
@ARSIPAJA Njir kompas memelihara penulis berita kek gini?,njir kompas memelihara penulis berita kek gini
@ARSIPAJA Tunjangan Akhir Tahun dikucurkan ada penjahat butuh polesan tebal https://t.co/W3nXPrHf0T,tunjangan dikucurkan penjahat butuh polesan tebal
