Topic,Count,Name,Representation,Representative_Docs
26,42,26_info presiden_diculik cari_presiden menculik_cari info,"['info presiden', 'diculik cari', 'presiden menculik', 'cari info', 'menculik presiden', 'presiden', 'foto foto', 'presiden npd', 'namanya presiden', 'ngomong']","['presiden diculik cari info presiden menculik', 'presiden diculik cari info presiden menculik', 'presiden diculik cari info presiden menculik']"
27,42,27____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '']"
28,42,28_presiden trump_venezuela nicolas_pernyataan mengecam_trump menculik,"['presiden trump', 'venezuela nicolas', 'pernyataan mengecam', 'trump menculik', 'mengecam presiden', 'presiden venezuela', 'maduro presiden', 'presiden indonesia', 'menculik presiden', 'venezuela']","['pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia']"
29,42,29_rusia_kemenlu rusia_vladimir putin_vladimir,"['rusia', 'kemenlu rusia', 'vladimir putin', 'vladimir', 'bertemu presiden', 'rusia maria', 'prabowo bertemu', 'presiden rusia', 'moskow', 'rusia vladimir']","['presiden prabowo bertemu presiden putin rusia btw menlu seskab mendampingi sisi rusia rame', 'presiden prabowo bertemu presiden putin rusia btw menlu seskab mendampingi sisi rusia rame', 'presiden prabowo bertemu presiden putin rusia btw menlu seskab mendampingi sisi rusia rame']"
30,42,30_ladang jagung_ladang_evaluasi ladang_ditumbuhi rumput,"['ladang jagung', 'ladang', 'evaluasi ladang', 'ditumbuhi rumput', 'jagung diresmikan', 'tigaraksa kabupaten', 'bantarpanjang kecamatan', 'banten ladang', 'kabupaten tangerang', 'tangerang evaluasi']","['polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program']"
31,41,31_jaman orba_lawannya_islam_jaman,"['jaman orba', 'lawannya', 'islam', 'jaman', 'menlu suriah', 'militeristik orba', 'natalegawa dicabut', 'rezim militeristik', 'assad', 'militeristik']","['jaman orba tni dipukul mundur gini bawa pasukan ratusan contohnya peristiwa priuk jamaah warsidi lawannya islam wni', 'jaman orba tni dipukul mundur gini bawa pasukan ratusan contohnya peristiwa priuk jamaah warsidi lawannya islam wni', 'jaman orba tni dipukul mundur gini bawa pasukan ratusan contohnya peristiwa priuk jamaah warsidi lawannya islam wni']"
32,40,32_ladang jagung_ladang_evaluasi ladang_ditumbuhi rumput,"['ladang jagung', 'ladang', 'evaluasi ladang', 'ditumbuhi rumput', 'jagung diresmikan', 'tigaraksa kabupaten', 'bantarpanjang kecamatan', 'banten ladang', 'kabupaten tangerang', 'tangerang evaluasi']","['polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program']"
33,40,33_menyusun skenario_mengganti sistem_mengegolkannya tempo_politikus menyusun,"['menyusun skenario', 'mengganti sistem', 'mengegolkannya tempo', 'politikus menyusun', 'skenario mengegolkannya', 'sistem pemilihan', 'selangkah politikus', 'politikus', 'ambisi presiden', 'pemilihan']","['ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada', 'ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada', 'ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada']"
34,38,34_venezuela nicolas_pernyataan mengecam_mengecam presiden_pemimpin bangsa,"['venezuela nicolas', 'pernyataan mengecam', 'mengecam presiden', 'pemimpin bangsa', 'presiden trump', 'mengecam', 'presiden venezuela', 'presiden indonesia', 'menculik presiden', 'venezuela']","['pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia', 'pemimpin bangsa beradab keluarkan pernyataan mengecam presiden trump menculik presiden venezuela nicolas maduro presiden indonesia']"
35,38,35_flora presiden_ilegal masifnya_kematian kehidupan_kerusakan kehancuran,"['flora presiden', 'ilegal masifnya', 'kematian kehidupan', 'kerusakan kehancuran', 'kehancuran lingkungan', 'relevan memilah', 'rakyat kehilangan', 'kehidupan rakyat', 'kehancuran', 'presiden bencana']","['presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora', 'presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora', 'presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora']"
