full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Presiden paling sulit ditembus nih bu sangking banyak bubble nya jadi lambat nerima informasi &amp; kritik,presiden sulit tembus sangking bubble lambat nerima informasi amp kritik
@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,legal ilegal hutan gundul produksi stop buka lahan stop deforestasi
@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,dengar buk harap biar makan sumpah
@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,kemablikan hutan fungsi jgn rusa hutan dalih hsl tambang kebun sawit tdk banding dampak rusa timbul nikmat hny sgelintir orang rakyat ttp bagi ampas anak cucu stop cabut izin
@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,presiden keluarga duga kebun sawit tdk
@susipudjiastuti @prabowo Yang heppy mereka bu...rakyat mblangsak mah udah biasa...biasa buat tumbal,heppy rakyat mblangsak udah tumbal
@susipudjiastuti @prabowo Ibu susi HP pak @prabowo disetting sama buna Teddy buat gak main sosmed banyak². Mana mungkin aspirasi rakyat bahkan sekaliber Bu Susi terdengar.,sus disetting buna teddy main sosmed aspirasi rakyat kaliber sus dengar
@susipudjiastuti @prabowo Apakah didengar buk @susipudjiastuti oleh presiden prabaowo klo kuarganya jg andil didlm stu..dan presiden dikepung pembantunya yg ikut andil jg ,dengar buk presiden prabaowo klo kuarganya andil didlm stu presiden kepung bantu andil
@susipudjiastuti @prabowo Tanam kembali hutan sperti bapak ke brazil kmrn,tanam hutan sperti brazil kmrn
@susipudjiastuti @prabowo @grok seberapa luas lahan sawit yang dimiliki pak Prabowo Subianto?,luas lahan sawit milik prabowo subianto
@susipudjiastuti @prabowo Setuju bu saat ini pemilahan harusnya : mana yg berdampak negatif dan positif. Jika berdampak negatif maka tutup walau legal.,tuju pilah dampak negatif positif dampak negatif tutup legal
@susipudjiastuti @prabowo Seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya..,rakyat henti jabat masalah barang bukti
@susipudjiastuti @prabowo yg Legal malah lebih parah,legal parah
@susipudjiastuti @prabowo emang berani prabowo lawan cukong2 dan jaringannya yg berurat akar di negeri ini buk? .,emang berani prabowo lawan cukong jaring urat akar negeri buk
